Text_ID,Sent_ID,Sent,POS_Tags,Target
1,1,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.","EX VBP RB NNS IN NNP MD RB VB DT JJ NN , IN DT NN VBZ VBG PRP$ JJ NN .",0
1,2,"The watch doesn't have a microphone or speaker, but you can use it to control the music on your phone.","DT NN VBZ RB VB DT NN CC NN , CC PRP MD VB PRP TO VB DT NN IN PRP$ NN .",0
1,3,You can glance at the watch face to view the artist and title of a song.,PRP MD VB IN DT NN TO VB DT NN CC NN IN DT NN .,0
2,4,"Two days later, the British astronomer Richard Carrington was observing the interesting sunspot group through his telescope when he saw what he described as ""two patches of intensely bright and white light"" over the sunspots.","CD NNS RB , DT JJ NN NNP VBD VBG DT JJ NN IN PRP$ NN WRB PRP VBD WP PRP VBD IN LRB- CD NNS IN RB JJ CC JJ NN RRB- IN DT NNS .",0
2,5,He jotted a note in his painstaking record.,PRP VBD DT NN IN PRP$ JJ NN .,0
2,6,That night there was scarcely a square inch of earth that was not illuminated by aurora.,DT NN EX VBD RB DT JJ NN IN NN WDT VBD RB VBN IN NN .,0
3,7,"I agree that California's ""three strikes and you're out"" law will be a financial disaster for taxpayers who care about education and other vital services.",PRP VBP IN NNP POS PRP$ LRB- CD NNS CC PRP VBP IN RRB- NN MD VB DT JJ NN IN NNS WP VBP IN NN CC JJ NNS .,0
3,8,But it's far from clear that the law can even be credited with a reduction in crime in California.,CC PRP VBZ RB IN JJ IN DT NN MD RB VB VBN IN DT NN IN NN IN NNP .,0
3,9,"While it's true that crime declined in California last year, crime also dropped nationwide.","IN PRP VBZ JJ DT NN VBD IN NNP JJ NN , NN RB VBD RB .",NNN
4,10,"Liza was in a bad temper, for she was mixing the Christmas puddings in the kitchen, and had been drawn from them, with a raisin still on her cheek, by Nana's absurd suspicions.","NNP VBD IN DT JJ NN , IN PRP VBD VBG DT NNP NNS IN DT NN , CC VBD VBN IN PRP , IN DT NN RB IN PRP$ NN , IN NNP POS PRP$ JJ NNS .",0
4,11,"She thought the best way of getting a little quiet was to take Nana to the nursery for a moment, but in custody of course.","PRP VBD DT JJS NN IN VBG DT JJ NN VBD TO VB NNP TO DT NN IN DT NN , CC IN NN IN NN .",0
5,12,Mrs.,NNP .,0
5,13,Darling quivered and went to the window.,NNP VBD CC VBD TO DT NN .,0
5,14,It was securely fastened.,PRP VBD RB VBN .,0
5,15,"She looked out, and the night was peppered with stars.","PRP VBD RB , CC DT NN VBD VBN IN NNS .",0
5,16,"They were crowding round the house, as if curious to see what was to take place there, but she did not notice this, nor that one or two of the smaller ones winked at her.","PRP VBD VBG IN DT NN , IN JJ TO VB WP VBD TO VB NN RB , CC PRP VBD RB VB DT , CC IN CD CC CD IN DT JJR NNS VBD IN PRP .",0
6,17,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.","VBG NNP RB VBG IN PRP IN DT NN IN NN VBN , PRP VBD IN DT NNS TO VB PRP IN DT NN .",0
6,18,He did not know that the crocodile was waiting for him; for we purposely stopped the clock that this knowledge might be spared him: a little mark of respect from us at the end.,PRP VBD RB VB IN DT NN VBD VBG IN PRP : IN PRP RB VBD DT NN IN DT NN MD VB VBN PRP : DT JJ NN IN NN IN PRP IN DT NN .,0
7,19,Dorothy didn't know.,NNP VBD RB VB .,0
7,20,She looked around her anxiously for some familiar landmark; but everything was strange.,PRP VBD IN PRP RB IN DT JJ NN : CC NN VBD JJ .,0
