Text_ID,Sent_ID,Sent,POS_Tags,Target
1,1,"If you were to journey to the North of England, you would come to a valley that is surrounded by moors as high as mountains.","IN PRP VBD TO VB TO DT NNP IN NNP , PRP MD VB TO DT NN WDT VBZ VBN IN NNS RB JJ IN NNS .",0
1,2,"It is in this valley where you would find the city of Bradford, where once a thousand spinning jennies that hummed and clattered spun wool into money for the long-bearded mill owners.","PRP VBZ IN DT NN WRB PRP MD VB DT NN IN NNP , WRB RB DT CD VBG NNS WDT VBD CC VBD NN IN NN IN DT JJ NN NNS .",0
1,3,"That all mill owners were generally busy as beavers and quite pleased with themselves for being so successful and well off was known to the residents of Bradford, and if you were to go into the city to visit the stately City Hall, you would see there the Crest of the City of Bradford, which those same mill owners created to celebrate their achievements.","IN DT NN NNS VBD RB JJ IN NNS CC RB JJ IN PRP IN VBG RB JJ CC RB VBD VBN TO DT NNS IN NNP , CC IN PRP VBD TO VB IN DT NN TO VB DT JJ NNP , PRP MD VB RB DT NNP IN DT NNP IN NNP , WDT DT JJ NN NNS VBD TO VB PRP$ NNS .",0
1,4,"It shows a sinister looking boar's head sitting on top of a well which seems puzzling at first, but the reason for this symbol is a matter of legend.","PRP VBZ DT JJ VBG NN POS PRP$ NN VBG IN NN IN DT NN WDT VBZ JJ IN JJ , CC DT NN IN DT NN VBZ DT NN IN NN .",0
1,5,"There was once, legend has it, a fearsome boar, which lived in a wood located just outside the manor of Bradford.","EX VBD RB , NN VBZ PRP , DT JJ NN , WDT VBD IN DT NN VBN RB IN DT NN IN NNP .",0
1,6,"A source of great trouble to the local folk the boar was, bringing terror to the peaceful flocks and ravaging the countryside around.","DT NN IN JJ NN TO DT JJ NN DT NN VBD , VBG NN TO DT JJ NNS CC VBG DT NN RP .",0
1,7,"Even worse, however, the boar most liked to go to the well that was in the wood and drink its fresh water, so that the people of Bradford had second thoughts about visiting the well.","RB JJR , RB , DT NN RBS VBD TO VB TO DT NN WDT VBD IN DT NN CC VB PRP$ JJ NN , IN DT NNS IN NNP VBD JJ NNS IN VBG DT NN .",0
1,8,That the people of Bradford bore the brunt of the beast's ferocity was unfair in the eyes of the people of the region.,IN DT NNS IN NNP VBD DT NN IN DT NN POS NN VBD JJ IN DT NNS IN DT NNS IN DT NN .,0
1,9,"Eventually, the issue reached the ears of the kindly Lord of the Manor who the people had often asked for help.","RB , DT NN VBD DT NNS IN DT RB NNP IN DT NNP WP DT NNS VBD RB VBN IN NN .",0
1,10,The Lord saw the severity of the problem the people faced and suggested a contest could solve the problem.,DT NNP VBD DT NN IN DT NN DT NNS VBD CC VBD DT NN MD VB DT NN .,0
1,11,He said that whoever could kill the boar and bring as proof its head to the Manor House would be rewarded with land and fame.,PRP VBD IN WP MD VB DT NN CC VB RB JJ PRP$ NN TO DT NNP MD VB VBN IN NN CC NN .,0
1,12,It was the people of Bradford and the people who knew them who rejoiced at this proclamation but one question remained: who would kill the boar?,PRP VBD DT NNS IN NNP CC DT NNS WP VBD PRP WP VBD IN DT NN CC CD NN VBD : WP MD VB DT NN .,0
1,13,"By the handsome reward many felt tempted, but the thought of the boar with its deadly tusks and face like thunder soon put an end to their ambitions.","IN DT JJ NN JJ VBD JJ , CC DT NN IN DT NN IN PRP$ JJ NNS CC NN IN NN RB VBD DT NN TO PRP$ NNS .",0
1,14,"However, there was one huntsman, who was still wet behind the ears, who decided the prize was worth a shot, in spite of the boar's reputation.","RB , EX VBD CD NN , WP VBD RB JJ IN DT NNS , WP VBD DT NN VBD JJ DT NN , IN NN IN DT NN POS PRP$ NN .",0
1,15,The huntsman discovered the boar preferred to come out in the middle of the day.,DT NN VBD DT NN VBD TO VB RB IN DT NN IN DT NN .,0
1,16,"So he went to the wood by the well with his good bow, to bide his time.","IN PRP VBD TO DT NN IN DT NN IN PRP$ JJ NN , TO VB PRP$ NN .",0
1,17,"Around noontime, the boar, feared by the locals, came out, as slow as a snail, from among the trees, just as the huntsman had predicted.","IN NN , DT NN , VBN IN DT NNS , VBD RB , RB JJ IN DT NN , IN DT NNS , RB IN DT NN VBD VBN .",0
1,18,The huntsman leaped from his hiding place and through the heart with his fine arrows shot the boar.,DT NN VBD IN PRP$ VBG NN CC IN DT NN IN PRP$ JJ NNS VBD DT NN .,0
1,19,Now the problem was no longer to kill the boar.,RB DT NN VBD RB JJR TO VB DT NN .,0
1,20,It was to find a way to carry the boar back.,PRP VBD TO VB DT NN TO VB DT NN RB .,0
1,21,"The head was too heavy for the little huntsman to carry back to the Manor House, but the huntsman, who was as quick-witted and cunning as ever, asked himself, 'What else can I do to prove I killed the boar?'","DT NN VBD RB JJ IN DT JJ NN TO VB RB TO DT NNP , CC DT NN , WP VBD RB JJ : JJ CC JJ IN RB , VBD PRP , '' WP RB MD PRP VB TO VB PRP VBD DT NN . ''",0
1,22,"The next instance he opened the boar's mouth and cut out its tongue, taking that as proof for the Lord.","DT JJ NN PRP VBD DT NN POS PRP$ NN CC VBD RP PRP$ NN , VBG DT IN NN IN DT NNP .",0
1,23,"He set out for the Manor House as quickly as he could and he had only been gone a few minutes when a second huntsman, not so bold as the first but a little more cunning, came on the scene.","PRP VBD RP IN DT NNP RB IN PRP MD CC PRP VBD RB VBN DT JJ NNS WRB DT JJ NN , RB JJ IN DT JJ CC DT JJ JJR JJ , VBD IN DT NN .",0
1,24,"Seeing the slain carcass of the boar, the huntsman rejoiced in his good fortune.","VBG DT JJ NN IN DT NN , DT NN VBD IN PRP$ JJ NN .",0
1,25,"The second huntsman knew a shortcut to the Manor House was just around the nearby pond, and, being a bigger man than the first, was able to pick up the boar's head and carry it through the wood towards the prize that awaited him.","DT JJ NN VBD DT NN TO DT NNP VBD RB IN DT JJ NN , CC , VBG DT JJR NN IN DT JJ , VBD JJ TO VB RP DT NN POS PRP$ NN CC VB PRP IN DT NN IN DT NN WDT VBD PRP .",0
1,26,The Lord of the Manor was seated in his hall when the second huntsman burst through the door and began to spin a line.,DT NNP IN DT NNP VBD VBN IN PRP$ NN WRB DT JJ NN IN DT NN CC VBD TO VB DT NN .,0
1,27,'The woes of Bradford are ended!','' DT NNS IN NNP VBP VBN . '',0
1,28,he announced.,PRP VBD .,0
1,29,'With my own hand I have slain the boar!','' IN PRP$ JJ NN PRP VBP VBN DT NN . '',0
1,30,"And, with that, at the feet of his lord he dropped the boar's enormous head.","CC , IN DT , IN DT NNS IN PRP$ NN PRP VBD DT NN POS JJ NN .",0
1,31,"'Then you will be rewarded, as I promised.'","'' RB PRP MD VB VBN , IN PRP VBD . ''",0
1,32,"'But first, let me examine the head of this monster,' said the Lord of the Manor.","'' CC RB , VB PRP VB DT NN IN DT NN , '' VBD DT NNP IN DT NNP .",0
1,33,To not examine the head in advance had not been very clever on the part of the huntsman.,TO RB VB DT NN IN NN VBD RB VBN RB JJ IN DT NN IN DT NN .,0
1,34,"Right away, the Lord noticed the tongue of the boar was missing and exclaimed, 'What is this?","RB , DT NNP VBD DT NN IN DT NN VBD VBG CC VBD , '' WP VBZ DT .",0
1,35,A boar with no tongue?',DT NN IN DT NN . '',0
1,36,"He looked at the huntsman, dubiously.","PRP VBD IN DT NN , RB .",0
1,37,'How come this creature has no tongue?','' WRB VBN DT NN VBZ DT NN . '',0
1,38,he demanded.,PRP VBD .,0
1,39,All eyes were on the huntsman.,DT NNS VBD IN DT NN .,0
1,40,"The huntsman questioned by the Lord replied, 'I cannot say, my Lord.'","DT NN VBN IN DT NNP VBD , '' PRP MD VB , PRP$ NNP . ''",0
1,41,He was suddenly realizing his tricky situation could end badly for him.,PRP VBD RB VBG PRP$ JJ NN MD VB RB IN PRP .,0
1,42,"Through the door at this moment, the first huntsman burst.","IN DT NN IN DT NN , DT JJ NN .",0
1,43,'The woes of Bradford are ended!','' DT NNS IN NNP VBP VBN . '',0
1,44,he cried.,PRP VBD .,0
