Text_ID,Sent_ID,Word_Number,Word,POS_Tag
1,1,1,There,EX
1,1,2,are,VBP
1,1,3,now,RB
1,1,4,rumblings,NNS
1,1,5,that,IN
1,1,6,Apple,NNP
1,1,7,might,MD
1,1,8,soon,RB
1,1,9,invade,VB
1,1,10,the,DT
1,1,11,smart,JJ
1,1,12,watch space,NN
1,1,13,",",","
1,1,14,though,IN
1,1,15,the,DT
1,1,16,company,NN
1,1,17,is,VBZ
1,1,18,maintaining,VBG
1,1,19,its,PRP$
1,1,20,customary,JJ
1,1,21,silence,NN
1,1,22,.,.
1,2,1,The,DT
1,2,2,watch,NN
1,2,3,doesn,VBZ
1,2,4,' t,RB
1,2,5,have,VB
1,2,6,a,DT
1,2,7,microphone,NN
1,2,8,or,CC
1,2,9,speaker,NN
1,2,10,",",","
1,2,11,but,CC
1,2,12,you,PRP
1,2,13,can,MD
1,2,14,use,VB
1,2,15,it,PRP
1,2,16,to,TO
1,2,17,control,VB
1,2,18,the,DT
1,2,19,music,NN
1,2,20,on,IN
1,2,21,your,PRP$
1,2,22,phone,NN
1,2,23,.,.
1,3,1,You,PRP
1,3,2,can,MD
1,3,3,glance,VB
1,3,4,at,IN
1,3,5,the,DT
1,3,6,watch face,NN
1,3,7,to,TO
1,3,8,view,VB
1,3,9,the,DT
1,3,10,artist,NN
1,3,11,and,CC
1,3,12,title,NN
1,3,13,of,IN
1,3,14,a,DT
1,3,15,song,NN
1,3,16,.,.
2,4,1,Two,CD
2,4,2,days,NNS
2,4,3,later,RB
2,4,4,",",","
2,4,5,the,DT
2,4,6,British,JJ
2,4,7,astronomer,NN
2,4,8,Richard Carrington,NNP
2,4,9,was,VBD
2,4,10,observing,VBG
2,4,11,the,DT
2,4,12,interesting,JJ
2,4,13,sunspot group,NN
2,4,14,through,IN
2,4,15,his,PRP$
2,4,16,telescope,NN
2,4,17,when,WRB
2,4,18,he,PRP
2,4,19,saw,VBD
2,4,20,what,WP
2,4,21,he,PRP
2,4,22,described,VBD
2,4,23,as,IN
2,4,24,"""",LRB-
2,4,25,two,CD
2,4,26,patches,NNS
2,4,27,of,IN
2,4,28,intensely,RB
2,4,29,bright,JJ
2,4,30,and,CC
2,4,31,white,JJ
2,4,32,light,NN
2,4,33,"""",RRB-
2,4,34,over,IN
2,4,35,the,DT
2,4,36,sunspots,NNS
2,4,37,.,.
2,5,1,He,PRP
2,5,2,jotted,VBD
2,5,3,a,DT
2,5,4,note,NN
2,5,5,in,IN
2,5,6,his,PRP$
2,5,7,painstaking,JJ
2,5,8,record,NN
2,5,9,.,.
2,6,1,That,DT
2,6,2,night,NN
2,6,3,there,EX
2,6,4,was,VBD
2,6,5,scarcely,RB
2,6,6,a,DT
2,6,7,square,JJ
2,6,8,inch,NN
2,6,9,of,IN
2,6,10,earth,NN
2,6,11,that,WDT
2,6,12,was,VBD
2,6,13,not,RB
2,6,14,illuminated,VBN
2,6,15,by,IN
2,6,16,aurora,NN
2,6,17,.,.
3,7,1,I,PRP
3,7,2,agree,VBP
3,7,3,that,IN
3,7,4,California,NNP
3,7,5,',POS
3,7,6,s,PRP$
3,7,7,"""",LRB-
3,7,8,three,CD
3,7,9,strikes,NNS
3,7,10,and,CC
3,7,11,you,PRP
3,7,12,' re,VBP
3,7,13,out,IN
3,7,14,"""",RRB-
3,7,15,law,NN
3,7,16,will,MD
3,7,17,be,VB
3,7,18,a,DT
3,7,19,financial,JJ
3,7,20,disaster,NN
3,7,21,for,IN
3,7,22,taxpayers,NNS
3,7,23,who,WP
3,7,24,care,VBP
3,7,25,about,IN
3,7,26,education,NN
3,7,27,and,CC
3,7,28,other vital,JJ
3,7,29,services,NNS
3,7,30,.,.
3,8,1,But,CC
